retailer,product_id,name,brand,size_raw,price,was_price,unit_price,unit_measure,is_on_special,result_rank,search_term,category,snapshot_date,fetched_at
coles,7239433,Coles Australian Lite Long Life Milk,Coles,1L,1.85,,1.85,1l,False,9,skim milk 2l,dairy,2026-09-01,2026-08-31T20:10:15.024058+00:00
coles,301721,Devondale Full Cream Long Life Milk,Devondale,1L,2.35,,2.35,1l,False,10,skim milk 2l,dairy,2026-09-01,2026-08-31T20:10:15.024058+00:00
coles,7667368,Coles Australian Full Cream Long Life Milk,Coles,1L,1.85,,1.85,1l,False,11,skim milk 2l,dairy,2026-09-01,2026-08-31T20:10:15.024058+00:00
coles,8972436,Pauls Zymil Lactose Free Skim Milk,Pauls,1L,4.1,,4.1,1l,False,12,skim milk 2l,dairy,2026-09-01,2026-08-31T20:10:15.024058+00:00
coles,5984520,Devondale Uht Full Cream Multipack Milk 6x200ml,Devondale,1.2L,6.25,,5.21,1l,False,13,skim milk 2l,dairy,2026-09-01,2026-08-31T20:10:15.024058+00:00
coles,4311829,Pauls Zymil Skim Long Life Milk,Pauls,1L,2.4,3,2.4,1l,False,14,skim milk 2l,dairy,2026-09-01,2026-08-31T20:10:15.024058+00:00
coles,3964532,Nestle Skim Sweetened Condensed Milk,Nestle,410g,4,,0.98,100g,False,15,skim milk 2l,dairy,2026-09-01,2026-08-31T20:10:15.024058+00:00
woolworths,48650,Woolworths Salted Butter 500g,Woolworths,500g,7,7,1.4,100G,False,1,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
woolworths,688962,Woolworths Essentials Unsalted Butter 500g,Woolworths Essentials,500g,7,7,1.4,100G,False,2,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
woolworths,41421,Devondale Butter Block Salted 500g,Devondale,500g,9.3,9.3,1.86,100G,False,3,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
woolworths,41287,Western Star Salted Butter Block 500g,Western Star,500g,9.5,9.5,1.9,100G,False,4,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
woolworths,802209,Devondale Butter Block Unsalted 500g,Devondale,500g,9.3,9.3,1.86,100G,False,5,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
woolworths,69756,Western Star Original Spreadable Butter Blend Tub 500g,Western Star,500g,6.8,8.5,1.36,100G,True,6,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
woolworths,6039122,Woolworths Olive Oil Spread 500g,Woolworths,500g,3.5,3.5,0.7,100G,False,7,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
woolworths,15791,Devondale Extra Soft Spreadable Butter 500g,Devondale,500g,8,8,1.6,100G,False,8,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
woolworths,233925,Woolworths Crunchy Peanut Butter 500g,Woolworths,500g,3.2,3.2,0.64,100G,False,9,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
woolworths,48462,Devondale Dairy Soft Spreadable Butter 500g,Devondale,500g,8,8,1.6,100G,False,10,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,210160,Coles Salted Butter,Coles,500g,8.5,,1.7,100g,False,1,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,3169880,Coles Simply Salted Butter,Coles Simply,500g,7,,1.4,100g,False,2,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
